PATENTE,A_FABRICACION,MARCA,MODELO,COLOR,TIPO_VEHICULO
KZPH44,2019,JAC,S2 CE,PLATEADO PLATA,29
LBFC82,2019,GREAT WALL,WINGLE 5 2.0 TD,PLATEADO PLATA,6
LDDV80,2013,HYUNDAI,SANTA FE 4X4 2.0 AUT,AZUL,29
LDTR89,2009,MAZDA,BIANTE 2.0 AUT,PLATEADO,29
LDTW22,2017,CHEVROLET,TRAX,NEGRO,29
LHKR15,2017,HYUNDAI,TUCSON 1.6 AUT,AZUL,29
LHLR94,2009,MERCEDES BENZ,A 180,BLANCO,29
LHPJ51,2019,FORD,ESCAPE SE ECOBOOST 2.0L AWD 4X4,GRIS PLATA,29
LJWP57,2004,HYUNDAI,PORTER,AZUL,6
LKWG34,2019,JEEP,GRAND CHEROKEE LTD 4X4,GRAFITO,29
LKYF71,2012,MAZDA,DEMIO,GRIS,2
LKYL28,2012,SUZUKI,SX4,AZUL,2
LKYS74,2011,NISSAN,NOTE,PLATEADO,29
LPHK42,2014,AUDI,A6,PLATEADO PLATA,2
LPVS77,2011,KIA MOTORS,SORENTO,GRIS GRAFITO,29
LPWB53,2010,HONDA,FIT,NEGRO,2
LPWT27,2014,HYUNDAI,SANTA FE DM2.2 CRDI GLS 2WD AT,PLATEADO,30
LRTT77,2007,HYUNDAI,SANTA FE,BLANCO,29
LSWP46,2013,CHEVROLET,CAPTIVA LT,BLANCO,29
LSWR34,2013,MAZDA,DEMIO 1.3 AUT,AZUL PURPURA,2
LSWT48,2011,MAZDA,MPV,NEGRO,29
LSWV29,2016,KIA MOTORS,SPORTAGE,BLANCO,29
LSWX23,1998,MERCEDES BENZ,E300 3.0 AUT,PLATEADO,2
LSXS46,2012,SUZUKI,SWIFT 1.2 AUT,BLANCCO PERLA,2
LVRY46,2007,DAEWOO,WINSTORM,BLANCO,29
LVSG59,2011,KIA MOTORS,SPORTAGE,BLANCO,29
LVSK15,2014,NISSAN,NOTE,BLANCO PERLA,29
LVSK96,2019,SUBARU,ASCENT,ROJO,29
LVSP69,2010,SSANGYONG,ACTYON,BLANCO PERLA,6
LVVZ39,2010,HYUNDAI,SANTA FE,GRIS GRAFITO,29
LW8526,1992,MITSUBISHI,PAJERO,DORADO VERDE,29
LW8566,1997,HYUNDAI,ACCENT 1.5 GLS,GRIS,2
LYKC37,2012,HONDA,FIT 0,NEGRO,29
LYKS49,2018,DODGE,DURANGO 4X4,NEGRO,29
LYKT58,2014,KIA MOTORS,MOHAVE,BLANCO,29
LZYT64,2021,FORD,EXPLORER XLT 4X4,PLATEADO PLATA,29
OL0246,2014,BMW,R1200GS 1170,GRIS TORMENTA M,21
PBSF36,2014,HONDA,FIT,PLATEADO,29
PBSH67,2017,HYUNDAI,SANTA FE 2.4 AUT,PLATEADO,29
PBSR33,2016,NISSAN,NOTE,GRIS,29
PBSW26,2004,KIA MOTORS,BONGO III,AZUL,6
PBSW56,2015,HYUNDAI,SANTA FE,NEGRO,29
PBSX71,2007,NISSAN,ELGRAND,NEGRO,29
PBVC78,2020,MAZDA,NEW BT 50 DCAB SDX 4X4,BLANCO,6
PCRC23,2011,KIA MOTORS,SORENTO 2.0 AUT,NEGRO,29
PFPW31,2010,MAZDA,DEMIO 1.5 AUT,GRIS,29
PGZZ86,2015,HYUNDAI,TUCSON,GRIS,29
PHBC42,2008,HYUNDAI,SANTA FE,PLATEADO,29
PHBF18,2011,HONDA,FIT 1.3 AUT,PLATEADO,29
PJTY35,2015,KIA MOTORS,K3 1.6 AUT,GRIS,2
PKKT44,2017,CHEVROLET,TRAX 4X4 1.4 AUT,ROJO,29
PKKV45,2021,GREAT WALL,WINGLE 2.2,PLATEADO PLATA,6
PKKX66,2013,HONDA,FIT 1.3 AUT,NEGRO,29
PKKZ54,2021,DFSK,SUV 580 1.8L COMFORT,BLANCO,29
PLFG58,2004,HYUNDAI,TUCSON 2.0,NEGRO,29
PLGZ35,2011,KIA MOTORS,SPORTAGE 2.0,NEGRO,29
PLSD82,2011,HONDA,FREED,BLANCO,29
PLSF37,2007,HYUNDAI,TUCSON,NEGRO,29
PLSH45,2012,MAZDA,DEMIO,GRIS,2
PLSL90,2014,NISSAN,LATIO,BLANCO PERLA,29
PLSL94,2012,KIA MOTORS,BONGO III 2.5,BLANCO,6
PLSP67,2012,HONDA,FIT,NEGRO,2
PPJT94,2008,MAZDA,MPV,VIOLETA MORADO,29
PRPL70,2010,HYUNDAI,VERNA,GRIS,2
PRPP29,2011,KIA MOTORS,SPORTAGE,GRIS,29
PRZR17,2008,SSANGYONG,ACTYON SPORTS 2.0 AUT,NEGRO,6
PSDY42,2012,HONDA,FIT 1.3 AUT,AZUL,29
PSFV90,2021,NISSAN,KICKS,ROJO METELICO,29
PSKC35,2019,CHEVROLET,TRAX,NEGRO,29
PSSB28,2010,CHEVROLET,CAPTIVA,GRIS,29
PTCD48,2018,HYUNDAI,GRAND STAREX 2.5 AUT,BLANCO,20
PTCG70,2007,KIA MOTORS,SPORTAGE,PLATEADO GRIS,29
PTCG84,2011,NISSAN,TIIDA 1.5 AUT,PLATEADO,29
PXVS98,2013,BMW,X1 E84 2.0 AUT,PLATEADO,29
PYGK60,2011,HYUNDAI,TUCSON,PLATEADO,29
PYGL38,2012,HONDA,FIT 1.5 AUT,NEGRO,29
PYJZ29,2021,CITROEN,C5 AIRCROSS CV A8 STT,NARANJA VOLCAN,29
PYTP60,2017,HYUNDAI,TUCSON,BLANCO,29
PYTS41,2012,HONDA,FIT,NEGRO,2
PYTV91,2011,KIA MOTORS,SORENTO,BLANCO,29
PZCT50,2010,VOLVO,C30 2.0 AUT,BLANCO,2
PZDT62,2021,CHEVROLET,GROOVE1.5 L PREMIER MT,ROJO BURDEO MET,29
PZDX15,2014,HYUNDAI,SANTA FE 2.0 AUT,GRIS,29
PZDY98,2012,HYUNDAI,PORTER II,AZUL,6
PZDY99,2006,KIA MOTORS,SORENTO,NEGRO,29
RBZR47,2021,HYUNDAI,CRETA SU2I 1.5,PLATEADO PLATA,29
RBZW11,2012,MAZDA,DEMIO,GRIS PLOMO,2
RBZW95,2010,SSANGYONG,KYRON 4X4 2.0 AUT,GRIS,29
RCGT94,2009,KIA MOTORS,BONGO,BLANCO,6
RCGT97,2013,SSANGYONG,KORANDO,GRIS PLOMO,29
RCGX64,2006,KIA MOTORS,SPORTAGE 2.0 AUT,BLANCO,29
RCGY16,2013,MAZDA,DEMIO 1.3 AUT,GRIS,2
RCXV95,2021,HYUNDAI,ACCENT HCI 1.6 AT VALUE,BLANCO,2
RDTK29,2012,HYUNDAI,GRAND STAREX,BLANCO,29
RDVC12,2010,HYUNDAI,TUCSON,GRIS,29
RFDG57,2012,HYUNDAI,ACCENT,GRIS,2
RFDJ44,2016,SUZUKI,SWIFT 1.3 AUT,CELESTE,2
RFDJ45,2015,MAZDA,CX5 2.2 AUT,BLANCO PERLA,29
RFRG52,2013,NISSAN,NOTE 1.2 AUT,BLANCO,29
RFRT81,2010,AUDI,A3 2.0 AUT,BLANCO,2
RGDR17,2016,MAZDA,CX 3 1.5 AUT,AZUL,29
RGHV60,2011,SSANGYONG,KORANDO 2.0 AUT,PLATEADO,29
RGHV98,2012,KIA MOTORS,SPORTAGE 2.0 AUT,BLANCO,29
RGVP21,2015,SSANGYONG,KORANDO,BEIGE,29
RGVS87,2014,HYUNDAI,ACCENT 1.6,CAFE,29
RGYG88,2018,HYUNDAI,AVANTE 1.6 AUT,BLANCO,2
RHKW26,2012,NISSAN,TIIDA,PLATEADO,29
RHKW42,2007,DAEWOO,WINSTORM 2.0 AUT,BLANCO,29
RHXL15,2010,KIA MOTORS,SORENTO,NEGRO,29
RJSP48,2006,HYUNDAI,TUCSON,NEGRO,29
RJSS91,2013,MAZDA,DEMIO,BLANCO,2
RKBC28,2013,SSANGYONG,KORANDO,GRIS PLOMO,29
RKBC86,2018,HYUNDAI,TUCSON,NEGRO,29
RKBD90,2015,HYUNDAI,I30,BLANCO PERLA,29
RKLT10,2015,CHEVROLET,CAMARO 0,GRIS,2
RKLT16,2011,HYUNDAI,TUCSON,GRIS PLOMO,29
RLGR54,2014,NISSAN,NOTE,CELESTE,29
RLPD68,2020,JEEP,CHEROKEE,GRIS,29
RLRV38,2014,HYUNDAI,TUCSON,BLANCO,29
RLRV52,2015,HYUNDAI,SANTA FE,GRIS,29
RPRP35,2009,MAZDA,DEMIO 1.3 AUT,ROJO PURPURA,2
RRBC89,2013,HYUNDAI,TUCSON,GRIS,29
RRBY20,2013,MAZDA,CX5,PLATEADO,29
RRCB49,2013,SSANGYONG,KORANDO 2.0 AUT,GRIS,29
RRCB59,2005,HYUNDAI,PORTER II,BLANCO,6
RSCC89,2011,HONDA,FIT,CAFE MARRON,29
RSCD85,2012,HYUNDAI,140 SALON 1.6 AUT,GRIS GRAFITO,2
RSCF87,2009,HONDA,FREED,AZUL,29
RSCF93,2013,KIA MOTORS,SORENTO,BLANCO,29
RSCJ15,2015,KIA MOTORS,K3,PLATEADO PLATA,2
RSXC67,2017,MAZDA,DEMIO,BLANCO,2
RSXF31,2011,HYUNDAI,SANTA FE,PLATEADO PLATA,29
RSXG35,2013,MAZDA,AXELA,NEGRO,2
RTRT78,2012,NISSAN,NOTE,NEGRO,2
RVFW57,2015,JEEP,COMPASS 2.4 AUT,GRIS,29
RVFW60,2016,MAZDA,DEMIO,ROJO,2
RVJG72,2008,HONDA,FREED 1.5 AUT,AZUL,29
RVJL32,2012,HONDA,FIT 1.3 AUT,PLATEADO,2
RVXT47,2012,MAZDA,DEMIO,GRIS,2
RVXW14,2011,MAZDA,DEMIO 1.3 AUT,CELESTE,2
RWHK84,2022,FORD,EXPLORER 4X4,GRIS CARBONIZAD,29
RXCB98,2013,MAZDA,DEMIO,GRIS,2
RXYW79,2022,FORD,F150 RAPTOR 4X4 3.5 L AUT,AZUL VELOCIDAD,6
RZRF25,2016,JEEP,CHEROKEE,NEGRO,29
RZYK39,2022,JMC,TOURING,PLATEADO PLATA,20
SBCP58,2007,KIA MOTORS,SORENTO,PLATEADO,29
SBCR31,2012,HYUNDAI,VELOSTER,PLATEADO,2
SBCR59,2012,HYUNDAI,I30,AZUL,2
SCYX65,2006,KIA MOTORS,SPORTAGE,PLATEADO PLATA,29
SGFC23,2010,HONDA,FIT 1.5 AUT,AZUL,29
SGFC97,2016,MAZDA,DEMIO 1.5 AUT,AZUL,29
SHJZ81,2010,MITSUBISHI,OUTLANDER,NEGRO,29
SJHD88,2023,CHANGAN,NEW CS35 PLUS,GRIS,29
SLBG74,2023,CHANGAN,CS55 PLUS LUXURY AT,GRIS ARENA,29
SPDW23,2021,CHEVROLET,BLAZER 3.6 AUT,ROJO,29
SRFR67,2023,MAXUS,T60 DCAB 4X4 2.8,ROJO,6
SS5865,1993,HYUNDAI,GRACE 2.5,ROJO,12
SSTJ28,2018,FORD,EXPLORER,ROJO BURDEO,29
SSTP73,2007,SUBARU,IMPREZA,NEGRO,2
STFC12,2023,JMC,VIGUS WORK,ROJO,6
STPX30,2023,JAC,T8 PRO TM,AZUL,6
SVGP11,2023,SUBARU,EVOLTIS,NEGRO CRISTAL S,29
SVSP36,2017,KENBO,600 1.6 AUT,BLANCO,29
SVSR71,2021,JEEP,COMPASS,NEGRO,29
SVSR79,2015,HYUNDAI,ACCENT,BLANCO,2
SWFV99,2012,SSANGYONG,KORANDO XDI 4X4 (KC 2223),GRIS,29
SWFW82,2012,HYUNDAI,PORTER II,BLANCO,6
SWZX44,2010,HONDA,FREED,ROJO,29
SWZX80,2012,KIA MOTORS,SPORTAGE 2.0 AUT,BLANCO,29
SWZY88,2007,HYUNDAI,PORTER II,BLANCO,6
SYKK21,2023,CHANGAN,CS55 PLUS ELITE AT,ROJO,29
SYLZ56,2024,GREAT WALL,WINGLE 7 2.4 G 4X4 ELITE PLUS,ROJO,6
SYPB86,2013,HONDA,FIT,CAFE,2
SYPF37,2012,HONDA,FIT 1.3 AUT,NEGRO,2
SYPG98,2016,MAZDA,DEMIO,GRIS,2
SZ7012,1999,FORD,SUPER CLUB W XL 5.4 AUT,GRIS,20
TBLX96,2019,JEEP,COMPASS TRAILHAWK 4X4,ROJO,29
TBPB94,2020,CHEVROLET,TRAVERSE,NEGRO,29
TBPD67,2012,KIA MOTORS,SPORTAGE,GRIS,29
TDHF25,2018,HYUNDAI,TUCSON,BLANCO,29
TDJC71,2013,MAZDA,DEMIO,CELESTE,2
TDJP16,2014,SSANGYONG,KORANDO,AZUL,29
TGTB89,2012,HYUNDAI,VELOSTER,GRIS,2
VU9288,1992,MITSUBISHI,PAJERO 2.5,GRIS,16
WL8173,2001,HYUNDAI,PORTER CHASIS SPR PS,AZUL,6
WN3241,1996,HYUNDAI,PORTER,AZUL,6
XRK099,2023,YAMAHA,TENERE 700,BLANCO,21
XS9793,1993,MITSUBISHI,PAJERO,BLANCO,29
YE0700,2014,YAMAHA,XTZ 125E,NEGRO,21
ZD1064,2005,MAZDA,B2500,BEIGE,6
ZE2501,1992,TOYOTA,HILUX SURF,AZUL,29
ZF4604,1993,MITSUBISHI,PAJERO,BLANCO PLATEADO,29
ZF5724,1997,HONDA,LOGO,GRIS,2
ZF7115,1995,HYUNDAI,ACCENT 1.5 LS,BLANCO,27
ZZ9429,1991,MITSUBISHI,PAJERO 4X4,VERDE DORADO,29
ABD637,2021,HECHIZO,S/M,GRIS,9
ABD973,2024,HECHIZO,S/M,NEGRO,9
BCLJ76,2007,HYUNDAI,ACCENT MC,NEGRO ROJO,2
BCRD61,2008,HYUNDAI,ACCENT,PLATEADO,2
BCYR41,2016,HYUNDAI,SONATA YF,AZUL PLATEADO,2
BFBK13,2008,CHEVROLET,AVEO SEDAN LS NB MT,BLANCO GALAXI,2
BGZP32,2008,MITSUBISHI,MONTERO SP,PLATEADO,29
BHSP47,1994,MITSUBISHI,DELICA,VERDE GRIS,29
BJWL35,2015,HYUNDAI,AVANTE,NEGRO AMARILLO,31
BPBP21,1995,MITSUBISHI,PAJERO,GRIS,29
BPBR52,2009,HYUNDAI,TUCSON,BLANCO,29
BSDH24,2009,CHEVROLET,COLORADO CC 3.7 4WD AT,GRIS OSCURO MET,6
BTKS56,1995,MITSUBISHI,PAJERO 4X4,BLANCO GRIS,29
CBZP79,1999,TOYOTA,VITZ,ROSADO,2
CBZR71,2000,TOYOTA,VITZ,PLATEADO,2
CDKB23,1999,TOYOTA,PLATZ,AZUL,2
CFPK40,1995,TOYOTA,GRANVIA,VERDE,29
CGRS36,2010,CHEVROLET,ASTRA ENJOY HB 1.8 MT AC,BLANCO OLIMPICO,2
CGSL47,2010,CHEVROLET,CAPTIVA LTZ AWD,PLATEADO,29
CHXY74,1994,MITSUBISHI,DELICA,AZUL GRIS,29
CLLG69,2001,TOYOTA,VITZ,AZUL,2
CLLL11,1996,NISSAN,TERRANO,GRIS,29
CLWT37,2010,HYUNDAI,ACCENT,NEGRO ROJO,2
CLZB90,2001,HONDA,FIT 1.3 AUT,GRIS,2
CPLB85,2003,TOYOTA,ALLION,BLANCO,2
CSJF69,2005,SUZUKI,SWIFT,PLATEADO,2
CXBX56,2001,TOYOTA,VITZ,GRIS,2
CXSY70,2006,HYUNDAI,TUCSON,NEGRO,29
CYTJ63,2005,TOYOTA,VITZ,BLANCO,2
CZVT76,2004,TOYOTA,WILL CYPHA 1.3 AUT,BLANCO,2
DBVB58,2005,HYUNDAI,PORTER,BLANCO,6
DCYJ23,2004,HYUNDAI,PORTER II,BLANCO,6
DDYL91,2001,SUZUKI,AERIO,BLANCO,29
DFDK59,1997,MITSUBISHI,DELICA AUT,AZUL GRIS,29
DHLT37,2004,TOYOTA,VITZ,BLANCO,2
DHTG81,1999,DAIHATSU,TERIOS 659,AZUL,29
DLJD31,1997,SSANGYONG,KORANDO,NEGRO,29
DLV069,2004,YAMAHA,DRAG STAR 400 CC,BLANCO,21
DPSH18,2005,HYUNDAI,PORTER,AZUL,6
DPYP35,2012,HYUNDAI,NEW TUCSON,PLATEADO,29
DRGW72,2003,HYUNDAI,STAREX,PLATEADO GRIS,29
DSGF85,2003,KIA,SORENTO,BLANCO,29
DSZG81,2007,SUZUKI,SWIFT,NEGRO,2
DTJL48,2002,MAZDA,DEMIO,AZUL,29
DTPG43,2012,CHEVROLET,SPARK GT HB 1.2 MT LT,AZUL DEPORTIVO,2
DVRJ56,2004,TOYOTA,PASSO,PLATEADO PLATA,2
DWKL37,2014,FORD,2429,BLANCO,5
DZHW94,2002,HYUNDAI,SANTA FE,CAFE,29
DZHX70,2002,SSANGYONG,REXTON,GRIS PERLA,29
FCSW82,2001,HYUNDAI,TERRACAN,GRIS,29
FCTD96,2004,HYUNDAI,PORTER II 2.5,AZUL,6
FCTX92,2007,HYUNDAI,SANTA FE 2.2 AUT,PLATEADO,29
FDWS82,2015,HYUNDAI,ACCENT RB GL AC,GRIS,2
FGSR26,1997,MITSUBISHI,DELICA,VERDE,29
FGSR97,2002,KIA MOTORS,SORENTO 4X4 2.5 AUT.,PLATEADO,29
FJTX96,2002,HYUNDAI,STAREX,PLATEADO GRIS,29
FKBB71,2006,NISSAN,NOTE,PLATEADO,2
FKZY92,2001,TOYOTA,RUNX,PLATEADO,29
FLWJ28,2002,HYUNDAI,TUSCANI,NEGRO,2
FPHG97,2002,HYUNDAI,TERRACAN 4X4 2.5,PLATEADO GRIS,29
FPPG79,2001,HONDA,FIT,CELESTE,29
FPPJ64,2001,VOLVO,FH 12,AZUL,5
FPXR49,2001,HYUNDAI,TERRACAN 4X4,NEGRO,29
FRJP15,2004,MAZDA,AXELA 1.5 AUT,BLANCO,29
FSSP46,2004,MAZDA,MPV,ROJO,29
FTSW23,2004,MAZDA,DEMIO,ROJO,29
FTSY50,2002,HONDA,FIT 1.5 AUT,BLANCO PERLA,29
FVLP38,2013,HYUNDAI,NEW TUCSON,GRIS,29
FVLP61,2013,CHEVROLET,CAPTIVA III LT 4X4,GRIS GRANITO.ME,29
FVPW86,2004,MAZDA,MPV 2.3 AUT,GRIS,29
FXDK10,2006,HONDA,FIT,PLATEADO,29
FZKY67,2008,MAZDA,DEMIO,PLATEADO,29
GDRF82,2004,PEUGEOT,307,BLANCO,29
GDRJ52,1999,MERCEDES BENZ,E300,GRIS,2
GGDT77,2004,MAZDA,DEMIO,AZUL,29
GGDT99,2002,TOYOTA,PLATZ 1.5 AUT,BLANCO,2
GGDZ62,2002,HYUNDAI,STAREX 2.5,BLANCO,29
GGKF50,2008,MAZDA,DEMIO,GRIS,2
GJP078,2018,HONDA,CB 190 R,NEGRO,21
GKCW51,2014,CHEVROLET,N300 MAX VAN,BLANCO,12
GLKR20,2002,CHEVROLET,CRUZE,NEGRO,29
GLKS69,2006,SUZUKI,SWIFT,BLANCO,2
GLKV28,2008,NISSAN,TIIDA,VERDE CLARO,2
GLLB58,2004,HONDA,FIT,CELESTE,29
GRKG82,2002,HONDA,FIT,ROJO,29
GRKS60,2003,CHEVROLET,TRACKER,AMARILLO,29
GVRT58,2008,MAZDA,PREMACY,BLANCO,29
GVZK81,2015,SUZUKI,SWIFT GL 1.2,NEGRO,2
GXZG98,2003,KIA MOTORS,SORENTO 2.5 AUT,GRIS,29
GXZJ70,2002,HYUNDAI,PORTER,AZUL,6
GZPK18,2002,TOYOTA,IST,BLANCO,29
GZZD81,2000,MITSUBISHI,DELICA,VERDE,29
GZZG55,2005,KIA MOTORS,SPORTAGE,PLATEADO,29
GZZS33,2003,KIA MOTORS,SORENTO,GRIS,29
HCSH68,2015,HYUNDAI,I10,CELESTE,2
HCSR34,2004,MAZDA,DEMIO,GRIS,29
HFGR56,2005,SUZUKI,SWIFT,GRIS,29
HFGT12,2002,HYUNDAI,SANTA FE,GRIS,29
HFGV34,2012,JEEP,GRAND CHEROKEE,DORADO,29
HJDS47,2006,HONDA,EDIX,PLATEADO,29
HKTB55,2006,NISSAN,NOTE,NEGRO,29
HKTC58,2004,SUBARU,IMPREZA,AZUL,2
HKTF29,2005,MAZDA,VERISA,ROJO,29
HKTJ87,2016,HYUNDAI,TUCSON,ROJO RUBI,29
HKTL80,2004,HYUNDAI,PORTER II,BLANCO,6
HKTW93,2009,MAZDA,DEMIO,GRIS,2
HSHV91,2006,TOYOTA,BB,GRIS,2
HSJF91,2016,HYUNDAI,TUCSON,PLATEADO,29
HSZW44,2005,HYUNDAI,SANTA FE,PLATEADO,29
HSZX91,2015,HYUNDAI,NEW TUCSON 4X4,ROJO,29
HSZZ44,2008,HONDA,FIT,NEGRO,29
HTJR41,2002,TOYOTA,SPACIO 1.5 AUT,NEGRO,29
