PATENTE,MONTO_PAGADO,TIPO_PAGO,FECHA_PAGO,MODULO_ATENCION,CODIGO_SII
PSSB28,16441,2,2024-09-01,1,SU500059
PTCD48,50970,2,2024-09-01,1,VN1110221
PTCG70,16441,2,2024-09-01,1,SU1320081
PTCG84,16441,2,2024-09-01,1,HB1760041
PXVS98,28162,2,2024-09-01,1,SU320061
PYGK60,17133,2,2024-09-01,1,SU1110094
PYGL38,16441,2,2024-09-01,1,HB1060026
PYJZ29,284532,2,2024-09-01,1,SU520131
PYTP60,51014,2,2024-09-01,1,SU1110187
PYTS41,16441,2,2024-09-01,1,HB1060024
PYTV91,20695,2,2024-09-01,1,VN1320106
PZCT50,36089,3,2024-09-01,1,HB2440018
PZDT62,31010,2,2024-09-01,1,SU500170
PZDX15,36546,2,2024-09-01,1,SU1110132
PZDY98,16441,2,2024-09-01,1,CT1110044
PZDY99,16441,2,2024-09-01,1,SU1320063
RBZR47,81368,2,2024-09-01,1,SU1110262
RBZW11,19945,2,2024-09-01,1,SD1600177
RBZW95,16441,2,2024-09-01,1,SU2250056
RCGT94,16441,2,2024-09-01,1,CT1320046
RCGT97,20319,2,2024-09-01,1,SU2250072
RCGX64,16441,2,2024-09-01,1,SU1320085
RCGY16,16441,2,2024-09-01,1,SD1600184
RCXV95,38920,2,2024-09-01,1,HB1110168
RDTK29,22078,2,2024-09-01,1,VN1110176
RDVC12,16441,2,2024-09-01,1,SU1110063
RFDG57,16441,2,2024-09-01,1,HB1110084
RFDJ44,16441,2,2024-09-01,1,HB2290126
RFDJ45,37411,2,2024-09-01,1,SU1600049
RFRG52,16441,2,2024-09-01,1,HB1760056
RFRT81,19809,2,2024-09-01,1,HB130022
RGDR17,25696,2,2024-09-01,1,SU1600058
RGHV60,16441,2,2024-09-01,1,SU2250072
RGHV98,18286,2,2024-09-01,1,SU1320119
RGVP21,22676,2,2024-09-01,1,SU2250071
RGVS87,16441,2,2024-09-01,1,HB1110084
RGYG88,24041,2,2024-09-01,1,HB1110168
RHKW26,16441,2,2024-09-01,1,SD1760270
RHKW42,16441,2,2024-09-01,1,VN500032
RHXL15,18514,2,2024-09-01,1,VN1320106
RJSP48,16441,2,2024-09-01,1,SU1110052
RJSS91,16441,2,2024-09-01,1,HB1600056
RKBC28,20319,2,2024-09-01,1,SU2250072
RKBC86,64438,2,2024-09-01,1,SU1110210
RKBD90,21437,2,2024-09-01,1,HB1110161
RKLT10,62464,2,2024-09-01,1,SD500291
RKLT16,17133,2,2024-09-01,1,SU1110094
RLGR54,16441,2,2024-09-01,1,HB1760056
RLPD68,70429,2,2024-09-01,1,SU1210065
RLRV38,29815,2,2024-09-01,1,SU1110141
RLRV52,42480,2,2024-09-01,1,SU1110132
RPRP35,16441,2,2024-09-01,1,HB1600040
RRBC89,23639,2,2024-09-01,1,SU1110119
RRBY20,27961,2,2024-09-01,1,SU1600044
RRCB49,17232,2,2024-09-01,1,SU2250071
RRCB59,16441,2,2024-09-01,1,CT1110035
RSCC89,36089,3,2024-09-01,1,HB1060024
RSCD85,19957,2,2024-09-01,1,HB1110126
RSCF87,16441,2,2024-09-01,1,HB1060021
RSCF93,29551,2,2024-09-01,1,SU1320135
RSCJ15,18625,2,2024-09-01,1,HB1320066
RSXC67,20680,2,2024-09-01,1,HB1600076
RSXF31,19873,2,2024-09-01,1,VN1110168
RSXG35,16441,2,2024-09-01,1,SD1600177
RTRT78,16441,2,2024-09-01,1,HB1760041
RVFW57,34104,2,2024-09-01,1,SU1210030
RVFW60,18970,2,2024-09-01,1,HB1600064
RVJG72,16441,2,2024-09-01,1,SU1060037
RVJL32,16441,2,2024-09-01,1,HB1060024
RVXT47,16441,2,2024-09-01,1,SD1600184
RVXW14,16441,2,2024-09-01,1,HB1600040
RWHK84,603019,2,2024-09-01,1,SU790099
RXCB98,16441,2,2024-09-01,1,HB1060026
RXYW79,1199601,2,2024-09-01,1,CT790217
RZRF25,66902,2,2024-09-01,1,SU1210068
RZYK39,102504,2,2024-09-01,1,VN1250001
SBCP58,16441,2,2024-09-01,1,SU1320063
SBCR31,16441,2,2024-09-01,1,HB1110109
SBCR59,16441,2,2024-09-01,1,HB1110121
SCYX65,16441,2,2024-09-01,1,SU1320086
SGFC23,16441,2,2024-09-01,1,HB1060024
SGFC97,18970,2,2024-09-01,1,HB1600064
SHJZ81,16441,2,2024-09-01,1,VN1660041
SJHD88,51232,2,2024-09-01,1,SU470059
SLBG74,64865,2,2024-09-01,1,SU470069
SPDW23,186826,2,2024-09-01,1,SU500136
SRFR67,58626,2,2024-09-01,1,CT1590025
SS5865,16441,2,2024-09-01,1,VN100001
SSTJ28,98491,2,2024-09-01,1,SU790086
SSTP73,16441,2,2024-09-01,1,SU2270250
STFC12,156058,2,2024-09-01,1,CT1250015
STPX30,81561,2,2024-09-01,1,CT1170032
SVGP11,258601,2,2024-09-01,1,SU2270592
SVSP36,60304,2,2024-09-01,1,VN1110195
SVSR71,98319,2,2024-09-01,1,SU1210082
SVSR79,16441,2,2024-09-01,1,SD1110205
SWFV99,17513,2,2024-09-01,1,SU2250072
SWFW82,16441,2,2024-09-01,1,CT1110053
SWZX44,16441,2,2024-09-01,1,VN1660049
SWZX80,18286,2,2024-09-01,1,SU1320119
SWZY88,16441,2,2024-09-01,1,CT1110036
SYKK21,84222,2,2024-09-01,1,SU470068
SYLZ56,70931,2,2024-09-01,1,
SYPB86,16441,2,2024-09-01,1,HB1060024
SYPF37,16441,2,2024-09-01,1,HB1060024
SYPG98,18970,2,2024-09-01,1,HB1600064
SZ7012,16441,2,2024-09-01,1,HB790100
TBLX96,220394,3,2024-09-01,1,SU1210068
TBPB94,125563,2,2024-09-01,1,SU500160
TBPD67,16441,2,2024-09-01,1,SU1320122
TDHF25,56805,2,2024-09-01,1,SU1110176
TDJC71,16556,2,2024-09-01,1,SD1600184
TDJP16,26931,2,2024-09-01,1,SU2250072
TGTB89,16443,3,2024-09-01,1,HB1110109
VU9288,36089,3,2024-09-01,1,SU1660002
WL8173,16441,2,2024-09-01,1,CT1110015
WN3241,16441,2,2024-09-01,1,CT1110002
XRK099,96353,2,2024-09-01,1,MT2540402
XS9793,16441,2,2024-09-01,1,SU1760027
YE0700,16441,2,2024-09-01,1,MT2540299
ZD1064,16441,2,2024-09-01,1,CT1600072
ZE2501,16441,2,2024-09-01,1,SU1760016
ZF4604,16441,2,2024-09-01,1,SU100001
ZF5724,36089,3,2024-09-01,1,SD1060058
ZF7115,16441,2,2024-09-01,1,SD1110047
ZZ9429,16441,2,2024-09-01,1,VN1660004
ABD637,36089,3,2024-09-02,1,
ABD973,13743,3,2024-09-02,1,
BCLJ76,36089,3,2024-09-02,1,SD1110148
BCRD61,16441,2,2024-09-02,1,SD1110147
BCYR41,39588,2,2024-09-02,1,SD1110317
BFBK13,16441,2,2024-09-02,1,SD500189
BGZP32,36089,3,2024-09-02,1,VN1660031
BHSP47,16441,2,2024-09-02,1,VN1660009
BJWL35,34329,2,2024-09-02,1,SD1110252
BPBP21,16440,2,2024-09-02,2,VN1660006
BPBR52,36089,3,2024-09-02,1,SU1110050
BSDH24,57733,3,2024-09-02,1,CT500238
BSDH24,53430,3,2024-09-02,1,CT500238
BSDH24,47128,3,2024-09-02,1,CT500238
BSDH24,41695,3,2024-09-02,1,CT500238
BSDH24,36089,3,2024-09-02,1,CT500238
BTKS56,16441,2,2024-09-02,1,VN1660007
CBZP79,16441,2,2024-09-02,1,SD2350087
CBZR71,16441,2,2024-09-02,1,SD2350126
CDKB23,16440,2,2024-09-02,2,HB2350006
CFPK40,16441,2,2024-09-02,1,VN2350017
CGRS36,36089,3,2024-09-02,1,HB500060
CGSL47,36089,3,2024-09-02,1,VN500039
CHXY74,16441,2,2024-09-02,1,VN1660006
CLLG69,16441,2,2024-09-02,1,HB2350012
CLLL11,36089,3,2024-09-02,1,SU1760027
CLWT37,36089,3,2024-09-02,1,SD1110176
CLZB90,36089,3,2024-09-02,1,HB590026
CPLB85,16441,2,2024-09-02,1,SD2350129
CSJF69,36089,3,2024-09-02,1,HB2290078
CXBX56,16441,2,2024-09-02,1,SD2350126
CXSY70,16441,2,2024-09-02,1,SU1110056
CYTJ63,36089,3,2024-09-02,1,HB2350024
CZVT76,16441,2,2024-09-02,1,HB2350019
DBVB58,16441,2,2024-09-02,1,CT1110030
DCYJ23,16441,2,2024-09-02,1,CT1110033
DDYL91,16441,2,2024-09-02,1,SD2290022
DFDK59,16441,2,2024-09-02,1,VN100007
DHLT37,16441,2,2024-09-02,1,HB2350021
DHTG81,16441,2,2024-09-02,1,SU590028
DLJD31,16441,2,2024-09-02,1,SU2250005
DLV069,36089,3,2024-09-02,1,MT1060200
DPSH18,16441,2,2024-09-02,1,CT1110035
DPYP35,16958,2,2024-09-02,1,SU1110093
DRGW72,16441,2,2024-09-02,1,SD1110122
DSGF85,16441,2,2024-09-02,1,SU1320044
DSZG81,36088,3,2024-09-02,2,HB2290077
DTJL48,41695,3,2024-09-02,2,SU1600020
DTJL48,36089,3,2024-09-02,2,SU1600020
DTPG43,16441,2,2024-09-02,1,HB500112
DVRJ56,16441,2,2024-09-02,1,HB2350016
DWKL37,98951,1,2024-09-02,1,
DZHW94,16441,2,2024-09-02,1,SU1110034
DZHX70,16441,2,2024-09-02,1,SU2250020
FCSW82,36089,3,2024-09-02,1,VN1110075
FCTD96,16441,2,2024-09-02,1,CT1110030
FCTX92,16441,2,2024-09-02,1,SU1110062
FDWS82,36089,3,2024-09-02,1,HB1110148
FGSR26,16441,2,2024-09-02,1,SU1660004
FGSR97,16441,2,2024-09-02,1,VN1320029
FJTX96,16441,2,2024-09-02,1,SU1110028
FKBB71,16441,2,2024-09-02,1,HB1760021
FKZY92,47128,3,2024-09-02,1,SU2350038
FKZY92,41695,3,2024-09-02,1,SU2350038
FKZY92,36089,3,2024-09-02,1,SU2350038
FLWJ28,16441,2,2024-09-02,1,SD1110038
FPHG97,16441,2,2024-09-02,1,VN1110075
FPPG79,53430,3,2024-09-02,1,SD1060078
FPPG79,47128,3,2024-09-02,1,SD1060078
FPPG79,41695,3,2024-09-02,1,SD1060078
FPPG79,36089,3,2024-09-02,1,SD1060078
FPPJ64,234490,3,2024-09-02,2,
FPXR49,16440,2,2024-09-02,2,VN1110075
FRJP15,16441,2,2024-09-02,1,SD1600111
FSSP46,16441,2,2024-09-02,1,SD1600122
FTSW23,16441,2,2024-09-02,1,SD1600077
FTSY50,16441,2,2024-09-02,1,HB2350013
FVLP38,50557,2,2024-09-02,1,SU1110076
FVLP61,17870,2,2024-09-02,2,SU500079
FVPW86,16441,2,2024-09-02,1,SD1600122
FXDK10,16441,2,2024-09-02,1,HB1060021
FZKY67,16441,2,2024-09-02,1,HB1600040
GDRF82,16441,2,2024-09-02,1,SU1840076
GDRJ52,16439,2,2024-09-02,2,SD1620094
GGDT77,16441,2,2024-09-02,2,HB1060021
GGDT99,16441,2,2024-09-02,1,SD2350129
GGDZ62,16441,2,2024-09-02,1,SU1110034
GGKF50,16441,2,2024-09-02,1,HB1600040
GJP078,47128,3,2024-09-02,1,MT1060321
GJP078,41695,3,2024-09-02,1,MT1060321
GJP078,36089,3,2024-09-02,1,MT1060321
GKCW51,16441,2,2024-09-02,1,CO500013
GLKR20,16440,2,2024-09-02,2,SD500180
GLKS69,36089,3,2024-09-02,1,HB2290064
GLKV28,16441,2,2024-09-02,1,SD1760239
GLLB58,16441,2,2024-09-02,1,HB2350019
GRKG82,16441,2,2024-09-02,2,SD1060078
GRKS60,36089,3,2024-09-02,1,SU500044
GVRT58,16441,2,2024-09-02,1,SU1600027
GVZK81,18111,2,2024-09-02,1,HB2290129
GXZG98,16441,2,2024-09-02,1,SU1320043
GXZJ70,16441,2,2024-09-02,1,CT1110020
GZPK18,16441,2,2024-09-02,1,SD2350124
GZZD81,53430,3,2024-09-02,1,VN1660017
GZZD81,47128,3,2024-09-02,1,VN1660017
GZZD81,41695,3,2024-09-02,1,VN1660017
GZZD81,36089,3,2024-09-02,1,VN1660017
GZZG55,16441,2,2024-09-02,1,SU1320086
GZZS33,16441,2,2024-09-02,1,VN1320060
HCSH68,16441,2,2024-09-02,1,HB1110145
HCSR34,16441,2,2024-09-02,1,SD1600113
HFGR56,36089,3,2024-09-02,1,HB2290077
HFGT12,16441,2,2024-09-02,1,SU1110035
HFGV34,36077,2,2024-09-02,1,VN1210023
HJDS47,16441,2,2024-09-02,1,SU1060036
HKTB55,16441,2,2024-09-02,1,SD1760211
HKTC58,16441,2,2024-09-02,1,SU2270181
HKTF29,16441,2,2024-09-02,1,VN1600020
HKTJ87,25978,2,2024-09-02,2,SU1110161
HKTL80,16441,2,2024-09-02,1,CT1110026
HKTW93,16441,2,2024-09-02,1,HB1600040
HSHV91,16441,2,2024-09-02,1,HB2350016
HSJF91,25978,2,2024-09-02,1,SU1110161
HSZW44,16441,2,2024-09-02,1,SU1110047
HSZX91,29433,2,2024-09-02,1,SU1110149
HSZZ44,16441,2,2024-09-02,1,HB1060021
HTJR41,47128,3,2024-09-02,1,SD2350122
HTJR41,41695,3,2024-09-02,1,SD2350122
HTJR41,36089,3,2024-09-02,1,SD2350122
HVTZ20,28037,2,2024-09-02,1,SU1110140
HVTZ32,16441,2,2024-09-02,1,VN1660020
HXWC43,36089,3,2024-09-02,1,SU1320038
HXWH18,16441,2,2024-09-02,1,SU1110044
HXXB21,55028,2,2024-09-02,1,CT2350143
HYSC83,16441,2,2024-09-02,1,SU1320038
HZDK47,61341,2,2024-09-02,1,CT790179
JBBL31,36467,2,2024-09-02,1,CT2350146
JDGK11,16441,2,2024-09-02,1,SU1320044
JDGL81,36089,3,2024-09-02,1,CT1110037
JFLD85,16441,2,2024-09-02,1,HB2350028
JFLF18,16441,2,2024-09-02,1,VN1110098
JFXF81,16441,2,2024-09-02,2,VN1110083
JFXL10,54582,2,2024-09-02,1,SU1110160
JFYL26,16441,2,2024-09-02,1,HB1600031
JG8615,295291,3,2024-09-02,1,
JG8615,278653,3,2024-09-02,1,
JG8615,259173,3,2024-09-02,1,
JG8615,241987,3,2024-09-02,1,
JG8615,225541,3,2024-09-02,1,
JG8615,206041,3,2024-09-02,1,
JG8615,188657,3,2024-09-02,1,
JG8615,170987,3,2024-09-02,1,
JG8615,151821,3,2024-09-02,1,
JG8615,132372,3,2024-09-02,1,
JG8615,117242,3,2024-09-02,1,
JG8615,98951,3,2024-09-02,1,
JGB035,16441,2,2024-09-02,1,MT1060341
JGG074,147516,2,2024-09-02,1,MT320213
JHKL49,35788,2,2024-09-02,1,SD500276
JHKP11,16441,2,2024-09-02,1,SD320125
JHKR38,16441,2,2024-09-02,1,VN1110075
JHKS39,16441,2,2024-09-02,1,SU1760169
JHKT16,51980,2,2024-09-02,1,CT2350144
JHLB29,16441,2,2024-09-02,1,CT1110032
JHLD28,33090,2,2024-09-02,2,CT500164
JHLG20,47128,3,2024-09-02,1,SD1060085
JHLG20,41695,3,2024-09-02,1,SD1060085
JHLG20,36089,3,2024-09-02,1,SD1060085
JHRH12,16441,2,2024-09-02,1,SD1600139
JKYC36,16441,2,2024-09-02,1,VN1320067
JLSL33,43653,2,2024-09-02,1,CT1540026
JLTP38,16441,2,2024-09-02,2,VN640026
JLTT58,98951,3,2024-09-02,1,
JLTZ22,16441,2,2024-09-02,1,SU1110044
JPJJ52,167379,2,2024-09-02,1,CT790181
JPXB56,27687,2,2024-09-02,1,SU1110190
JPXG99,16441,2,2024-09-02,1,SU1320085
JPXJ97,16441,2,2024-09-02,1,CT1110027
JSVL85,16441,2,2024-09-02,1,HB2350028
JSVP89,16440,2,2024-09-02,2,VN1600030
JSVS40,16441,2,2024-09-02,1,HB2290077
JSVW50,33648,2,2024-09-02,1,SD1060109
JVHF58,36089,3,2024-09-02,1,HB1060021
JVHF83,16441,2,2024-09-02,1,SD1600173
JWBB98,16441,2,2024-09-02,1,SD1060089
JWBD73,42107,2,2024-09-02,1,CT500302
JWBJ53,16441,2,2024-09-02,1,SU1320045
JWFX84,120478,2,2024-09-02,1,CT2250042
JXTT62,16441,2,2024-09-02,1,HB1110151
JXTX67,27525,2,2024-09-02,1,SU1110181
JYSH44,53430,3,2024-09-02,2,SD1060040
JYSH44,47128,3,2024-09-02,2,SD1060040
JYSH44,41695,3,2024-09-02,2,SD1060040
JYSH44,36089,3,2024-09-02,2,SD1060040
JYSW52,53786,2,2024-09-02,1,SU1110191
JYSY13,16441,2,2024-09-02,1,SD1600187
JYTB10,16441,2,2024-09-02,1,SU1320091
JYTB95,16441,2,2024-09-02,1,HB1600040
JYTB98,16441,2,2024-09-02,1,HB2290077
JYTF75,16441,2,2024-09-02,1,SD2290029
JYTH45,41695,3,2024-09-02,1,VN500032
JYTH45,36089,3,2024-09-02,1,VN500032
JYTJ44,16441,2,2024-09-02,1,SU1320085
JYTJ85,16441,2,2024-09-02,1,SU1320064
JYZV41,95586,3,2024-09-02,1,CT1600120
KBCJ86,38094,2,2024-09-02,1,SU1320193
KBLH16,16441,2,2024-09-02,1,HB2290080
KBLH31,16441,2,2024-09-02,1,HB2290077
KBZY86,16441,2,2024-09-02,1,SD1600187
KBZY98,53786,2,2024-09-02,1,SU1110191
KCBC11,52460,2,2024-09-02,1,VN500067
KCKG27,16441,2,2024-09-02,1,HB1110183
KCSR77,16441,2,2024-09-02,1,VN1660036
KCST17,16441,2,2024-09-02,1,HB1060021
KGJS42,16441,2,2024-09-02,1,SU1110060
KGJS95,16441,2,2024-09-02,1,HB2290080
KGJX35,16441,2,2024-09-02,1,HB1060021
KGJX61,16441,2,2024-09-02,1,VN1320085
KGWR99,57737,3,2024-09-02,2,VN1110076
KGWR99,53430,3,2024-09-02,2,VN1110076
KGWR99,47128,3,2024-09-02,2,VN1110076
KGWR99,41695,3,2024-09-02,2,VN1110076
KGWR99,36089,3,2024-09-02,1,VN1110076
KGWW36,16441,2,2024-09-02,1,SU2250013
KHXT39,143622,2,2024-09-02,2,SD1760332
KHXT39,249608,3,2024-09-02,2,SD1760332
KJTY10,36089,3,2024-09-02,1,SD2270116
KJTY49,16441,2,2024-09-02,1,SD1600154
KJVC76,16441,2,2024-09-02,1,HB1060024
KJVH27,16441,2,2024-09-02,1,HB1320052
KJVL49,16441,2,2024-09-02,1,SU2350048
KJWB43,16441,2,2024-09-02,1,HB2290079
KPCW47,131628,2,2024-09-02,1,SU1210040
KPHS22,16441,2,2024-09-02,1,HB2290077
KPHS30,16440,2,2024-09-02,2,CT1110028
